Date,Time,Trade_ID,Action,Coin,Symbol,Side,Leverage,Entry_Price,Liquidation_Price,Quantity,Notional_USD,Margin_Used,Stop_Loss,Take_Profit,TP_Type,Exit_Price,Exit_Time,PnL_USD,PnL_Percent,Exit_Reason,Trade_Duration_Minutes,Expected_TP_Profit,Monitoring_Status,Liquidation_Safety_Buffer
2025-07-13,01:19:51,HIFIUSDT_1752337191,ENTRY,HIFI,HIFIUSDT,long,10,0.0828,0.07601571,1807.22891566,149.638554216648,15,0.0810246342536904,0.0843833333333353,Fixed $2.5 profit,0.0825,01:36:43,-0.5421686746979905,-3.6144578313199367,EXTERNAL_CLOSE,16.866666666666667,2.861445783132006,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,01:41:40,HIFIUSDT_1752338500,ENTRY,HIFI,HIFIUSDT,long,10,0.0828,0.07601571,1807.0,149.6196,100,0.0810246342536904,0.0843833333333353,Manual Setup,0.0825,01:56:50,-0.5420999999999905,-0.5420999999999905,EXTERNAL_CLOSE,15.166666666666666,2.8610833333370054,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,02:25:48,HIFIUSDT_1752341148,ENTRY,HIFI,HIFIUSDT,long,10,0.0828,0.07601571,1807.0,149.6196,100,0.0810246342536904,0.0843833333333353,Manual Setup,0.0822,03:20:08,-1.084200000000006,-1.084200000000006,EXTERNAL_CLOSE,54.333333333333336,2.8610833333370054,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,03:36:24,HIFIUSDT_1752345384,ENTRY,HIFI,HIFIUSDT,long,10,0.0828,0.07601571,1807.0,149.6196,100,0.0810246342536904,0.0843833333333353,Manual Setup,0.0832,04:39:43,0.7227999999999957,0.7227999999999957,EXTERNAL_CLOSE,63.31666666666667,2.8610833333370054,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,04:41:34,HIFIUSDT_1752349294,ENTRY,HIFI,HIFIUSDT,long,10,0.0828,0.07601571,1807.0,149.6196,100,0.0810246342536904,0.0843833333333353,Manual Setup,0.0826,05:11:09,-0.3613999999999853,-0.3613999999999853,EXTERNAL_CLOSE,29.58333333333333,2.8610833333370054,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,05:23:20,HIFIUSDT_1752351800,ENTRY,HIFI,HIFIUSDT,long,10,0.0828,0.07601995,1807.0,149.6196,100,0.0810246342536904,0.0843833333333353,Manual Setup,0.0829,05:26:30,0.1807000000000052,0.1807000000000052,EXTERNAL_CLOSE,3.1666666666666665,2.8610833333370054,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,12:34:52,ALPHAUSDT_1752377692,ENTRY,ALPHA,ALPHAUSDT,long,10,0.01616,0.01482881,9282.17821782,149.99999999997118,15,0.0157640676230868,0.0164293333333333,Fixed $2.5 profit,0.01606,12:57:28,-0.9282178217819944,-6.188118811879962,EXTERNAL_CLOSE,22.6,2.5000000000000018,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,12:57:32,ALPHAUSDT_1752379052,ENTRY,ALPHA,ALPHAUSDT,long,10,0.01616,0.01482881,9282.0,149.99712,100,0.0157640676230868,0.0164293333333333,Manual Setup,0.01595,13:03:28,-1.9492200000000173,-1.949220000000017,EXTERNAL_CLOSE,5.933333333333334,2.4999520000004822,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,13:03:28,ALPHAUSDT_1752379408,ENTRY,ALPHA,ALPHAUSDT,long,10,0.01616,0.01482881,9282.0,149.99712,100,0.0157640676230868,0.0164293333333333,Manual Setup,0.01584,13:08:18,-2.970240000000008,-2.970240000000008,EXTERNAL_CLOSE,4.833333333333333,2.4999520000004822,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,13:17:28,PHAUSDT_1752380248,ENTRY,PHA,PHAUSDT,long,10,0.1079624,0.09862156,555.7613931,60.00133382641943,6,0.1068238141132621,0.109759333333361,Fixed $1 profit,0.10732,13:30:43,-0.3570211189274407,-5.950351982124012,EXTERNAL_CLOSE,13.25,0.9986661726565624,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,13:30:44,PHAUSDT_1752381044,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.09862156,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10907,14:04:48,0.6147000000179992,0.6147000000179992,EXTERNAL_CLOSE,34.06666666666667,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,14:04:48,PHAUSDT_1752383088,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.09862156,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10856,14:23:02,0.3316500000180011,0.3316500000180011,EXTERNAL_CLOSE,18.23333333333333,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,14:23:05,PHAUSDT_1752384185,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.09862156,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10818,15:01:34,0.1207500000179981,0.1207500000179981,EXTERNAL_CLOSE,38.48333333333333,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,15:01:35,PHAUSDT_1752386495,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.09862156,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10872,15:20:27,0.4204500000179975,0.4204500000179975,EXTERNAL_CLOSE,18.866666666666667,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
