Date,Time,Trade_ID,Action,Coin,Symbol,Side,Leverage,Entry_Price,Quantity,Notional_USD,Margin_Used,Stop_Loss,Take_Profit,TP_Type,Exit_Price,Exit_Time,PnL_USD,PnL_Percent,Exit_Reason,Trade_Duration_Minutes,Expected_TP_Profit,Monitoring_Status,Liquidation_Price,Liquidation_Safety_Buffer
2025-07-11,10:54:36,DOGEUSDT_1752198876,ENTRY,DOGE,DOGEUSDT,long,2,0.19516,61.52268649,12.0067674953884,6,0.1918469168099418,0.2014561663801163,ATR-based SL/TP (1:2.0 R:R),0.19541,10:56:31,0.0153806716225,0.2563445270416669,EXTERNAL_CLOSE,1.9166666666666667,0.3873570702927779,MONITORING_ACTIVE,,
2025-07-11,10:58:26,DOGEUSDT_1752199106,ENTRY,DOGE,DOGEUSDT,short,2,0.19538,-61.41563027,11.9993858421526,6,0.1985973689043439,0.1889752621913122,ATR-based SL/TP (1:2.0 R:R),0.19541,10:58:33,-0.0018424689081001,-0.0307078151350022,EXTERNAL_CLOSE,0.1166666666666666,0.3933510092346585,MONITORING_ACTIVE,,
2025-07-11,11:02:51,DOGEUSDT_1752199371,ENTRY,DOGE,DOGEUSDT,long,2,0.19527,61.45022531,11.9993854962837,6,0.1924979941789142,0.2441000000059527,Fixed $3 profit,0.19527,11:02:57,0.0,0.0,EXTERNAL_CLOSE,0.1,3.0006145022531,MONITORING_ACTIVE,,
2025-07-11,11:04:36,DOGEUSDT_1752199476,ENTRY,DOGE,DOGEUSDT,short,2,0.19529,-61.43135046,11.9969284313334,6,0.1981220058210858,0.146504999995346,Fixed $3 profit,0.19543,11:05:17,-0.0086003890644,-0.1433398177400012,EXTERNAL_CLOSE,0.6833333333333333,2.996928432476998,MONITORING_ACTIVE,,
2025-07-11,11:07:25,DOGEUSDT_1752199645,ENTRY,DOGE,DOGEUSDT,long,2,0.19622,61.14649681,11.9981656040582,6,0.17877,0.18269,Swing levels (lookback: 15),0.19609,11:07:33,-0.0079490445853011,-0.132484076421686,TAKE_PROFIT,0.1333333333333333,0.8273121018393009,MONITORING_ACTIVE,,
2025-07-11,11:09:44,DOGEUSDT_1752199784,ENTRY,DOGE,DOGEUSDT,long,2,0.19618,61.20887528,12.0079571524304,6,0.17877,0.19635,Swing levels (lookback: 12),0.1961,11:09:51,-0.0048967100223998,-0.0816118337066633,EXTERNAL_CLOSE,0.1166666666666666,0.0104055087976002,MONITORING_ACTIVE,,
2025-07-11,11:13:40,DOGEUSDT_1752200020,ENTRY,DOGE,DOGEUSDT,short,2,0.19697,-60.94464195,12.0042661248915,6,0.2001425461504127,0.1904149076991744,ATR-based SL/TP (1:2.0 R:R),0.19724,11:14:30,-0.0164550533264995,-0.2742508887749923,EXTERNAL_CLOSE,0.8333333333333334,0.3994977532230144,MONITORING_ACTIVE,,
2025-07-11,11:15:52,DOGEUSDT_1752200152,ENTRY,DOGE,DOGEUSDT,long,2,0.19793,60.59687926,11.9939403119318,6,0.1948242569310711,0.2044414861378576,ATR-based SL/TP (1:2.0 R:R),0.1978,11:16:12,-0.0078775943037994,-0.1312932383966578,EXTERNAL_CLOSE,0.3333333333333333,0.3945757392989256,MONITORING_ACTIVE,,
2025-07-11,12:16:24,DOGEUSDT_1752203784,ENTRY,DOGE,DOGEUSDT,long,2,0.19809,60.5999394,12.004241995745998,6,0.195067495330748,0.2039250093385038,ATR-based SL/TP (1:2.0 R:R),0.19811,12:16:50,0.0012119987880012,0.0201999798000202,EXTERNAL_CLOSE,0.4333333333333333,0.35360121231177,SELF_MONITORING_ACTIVE,0.09957318,
2025-07-11,12:35:58,DOGEUSDT_1752204958,ENTRY,DOGE,DOGEUSDT,long,25,0.19755,759.18615244,149.977224414522,6,0.1945581489961913,0.2036237020076173,ATR-based SL/TP (1:2.0 R:R),0.1975,12:36:18,-0.0379593076219958,-0.6326551270332637,EXTERNAL_CLOSE,0.3333333333333333,4.611070458230111,SELF_MONITORING_ACTIVE,0.19082963,
2025-07-11,13:14:10,ACEUSDT_1752207250,ENTRY,ACE,ACEUSDT,long,20,0.5566589,646.78404599,360.0380955783428,18,0.5450037096408697,0.5739944355386953,ATR-based SL/TP (1:1.5 R:R),0.5577,13:15:08,0.6733668702802,3.740927057112223,EXTERNAL_CLOSE,0.9666666666666668,11.21234781512083,SELF_MONITORING_ACTIVE,0.53606954,
2025-07-11,14:41:10,ICXUSDT_1752212470,ENTRY,ICX,ICXUSDT,long,20,0.1364,2932.55131964,399.999999998896,20,0.1349711439243197,0.1385432841135204,ATR-based SL/TP (1:1.5 R:R),0.1363,14:46:36,-0.2932551319639677,-1.4662756598198388,EXTERNAL_CLOSE,5.433333333333334,6.2852906554678905,SELF_MONITORING_ACTIVE,0.13154197,
2025-07-11,22:28:59,PENDLEUSDT_1752240539,ENTRY,PENDLE,PENDLEUSDT,long,20,4.1353115,96.73284805,400.0204589689176,20,4.0690971771645605,4.234104234253159,ATR SL/TP (1:1.5 R:R),4.1327,23:19:39,-0.2526178326826169,-1.2630891634130845,EXTERNAL_CLOSE,50.666666666666664,9.556502550954876,COMPLETELY_FIXED_ACTIVE,3.9658354,1.5%
