Date,Time,Action,Coin,Symbol,Side,Leverage,Entry_Price,Quantity,Notional_USD,Margin_Used,Stop_Loss,Take_Profit,TP_Type,Exit_Price,Exit_Time,PnL_USD,PnL_Percent,Exit_Reason,Trade_Duration_Minutes,Expected_TP_Profit,Liquidation_Price,Calculated_Liquidation_Price
2025-07-09,16:40:56,ENTRY,LISTA,LISTAUSDT,long,50,0.2072,2415.45893719,500.483091785768,10,0.20079,0.2194199999999999,ATR-based (1:2.0),,,,,,,29.51690821246176,,
2025-07-09,19:41:42,ENTRY,IP,IPUSDT,long,50,3.0178484,165.68855191,500.0229312799104,10,2.9743913830400004,3.1047624339199995,ATR-based (1:2.0),,,,,,,14.400660420861325,2.9695628256,
2025-07-09,20:43:33,ENTRY,H,HUSDT,long,50,0.05461,9154.15598681,499.9084584396941,10,0.0543680645,0.0550938709999999,ATR-based (1:2.0),,,,,,,4.4294306114937125,0.05432537,
2025-07-09,21:17:43,ENTRY,VANRY,VANRYUSDT,long,20,0.0278273,7189.07260963,200.0524802299569,10,0.0269854,0.0294892,ATR-based (1:2.0),,,,,,,11.947519769944105,,0.0013772277227729205
