Date,Time,Action,Coin,Symbol,Side,Leverage,Entry_Price,Quantity,Notional_USD,Margin_Used,Stop_Loss,Take_Profit,TP_Type,ATR_TP,Fixed_TP,Exit_Price,Exit_Time,PnL_USD,PnL_Percent,Exit_Reason,Trade_Duration_Minutes,Stop_Moved_Breakeven,Use_Breakeven
2025-07-07,11:28:01,ENTRY,HOOK,HOOKUSDT,long,10,0.0974,616.64953751,60.06166495347399,6,0.0960921948219392,0.0993617077670911,ATR-based (1:1.5),0.0993617077670911,0.099835,,,,,,,False,
2025-07-07,11:44:37,EXIT,HOOK,HOOKUSDT,long,10,0.0974,616.64953751,60.06166495347399,6,0.0960921948219392,0.0993617077670911,ATR-based (1:1.5),0.0993617077670911,0.099835,0.0975,11:44:37,0.0616649537510017,1.0277492291833628,MANUAL_CLOSE,16.0,False,
2025-07-07,11:53:03,ENTRY,SPELL,SPELLUSDT,long,20,0.0004605,391049.31566369,180.07820986312925,9,0.0004574986018306,0.000464502097254,ATR-based (1:1.5),0.000464502097254,0.0004718075,,,,,,,False,
2025-07-07,13:02:03,BREAKEVEN_MOVE,SPELL,SPELLUSDT,long,20,0.0004605,391049.31566369,180.07820986312925,9,0.0004605,0.000464502097254,ATR-based (1:1.5),0.000464502097254,0.0004718075,,,,,STOP_MOVED_TO_BREAKEVEN,68.0,True,
2025-07-07,13:02:33,EXIT,SPELL,SPELLUSDT,long,20,0.0004605,391049.31566369,180.07820986312925,9,0.0004605,0.000464502097254,ATR-based (1:1.5),0.000464502097254,0.0004718075,0.0004603,13:02:33,-0.0782098631327398,-0.8689984792526655,BREAKEVEN,69.0,True,
2025-07-07,13:29:12,ENTRY,XLM,XLMUSDT,short,20,0.25153,715.62040313,179.9999999992889,9,0.2534730579547798,0.2486154130678301,ATR-based (1:1.5),0.2486154130678301,0.2452417499999999,,,,,,,False,
2025-07-07,13:41:51,EXIT,XLM,XLMUSDT,short,20,0.25153,715.62040313,179.9999999992889,9,0.2534730579547798,0.2486154130678301,ATR-based (1:1.5),0.2486154130678301,0.2452417499999999,0.25114,13:41:51,0.279091957220701,3.1010217468966776,MANUAL_CLOSE,12.0,False,
2025-07-07,15:05:24,ENTRY,CHZ,CHZUSDT,short,20,0.03576,5032.14984623,179.9496785011848,9,0.0359594602096087,0.0354858096855868,ATR-based (1:1.5),0.0354858096855868,0.03487575,,,,,,,False,True
2025-07-07,16:05:38,BREAKEVEN_MOVE,CHZ,CHZUSDT,short,20,0.03576,5032.14984623,179.9496785011848,9,0.03576,0.0354858096855868,ATR-based (1:1.5),0.0354858096855868,0.03487575,,,,,STOP_MOVED_TO_BREAKEVEN,60.0,True,True
2025-07-07,16:06:09,EXIT,CHZ,CHZUSDT,short,20,0.03576,5032.14984623,179.9496785011848,9,0.03576,0.0354858096855868,ATR-based (1:1.5),0.0354858096855868,0.03487575,0.03569,16:06:09,0.3522504892361031,3.9138943248455895,MANUAL_CLOSE,60.0,True,True
2025-07-07,16:14:25,ENTRY,SCRT,SCRTUSDT,short,20,0.155,1160.54158607,179.88394584085,9,0.1563404075082383,0.1532393887376425,ATR-based (1:1.5),0.1532393887376425,0.1512224999999999,,,,,,,False,False
2025-07-07,16:52:17,EXIT,SCRT,SCRTUSDT,short,20,0.155,1160.54158607,179.88394584085,9,0.1563404075082383,0.1532393887376425,ATR-based (1:1.5),0.1532393887376425,0.1512224999999999,0.1566,16:52:17,-1.8568665377119888,-20.6318504190221,STOP_LOSS,37.0,False,False
2025-07-07,16:57:52,ENTRY,JTO,JTOUSDT,long,30,1.9231,109.20436817,210.010920427727,7,1.9082570018162164,1.9451144972756755,ATR-based (1:1.5),1.9451144972756755,1.971075,,,,,,,False,False
2025-07-07,18:46:51,EXIT,JTO,JTOUSDT,long,30,1.9231,109.20436817,210.010920427727,7,1.9082570018162164,1.9451144972756755,ATR-based (1:1.5),1.9451144972756755,1.971075,1.8955,18:46:51,-3.0140405614920076,-43.057722307028676,STOP_LOSS,108.0,False,False
