Date,Time,Action,Coin,Symbol,Side,Leverage,Entry_Price,Quantity,Notional_USD,Margin_Used,Stop_Loss,Take_Profit,TP_Type,ATR_TP,Fixed_TP,Use_Breakeven,Exit_Price,Exit_Time,PnL_USD,PnL_Percent,Exit_Reason,Trade_Duration_Minutes,Stop_Moved_Breakeven
2025-07-09,01:17:28,EXIT,TST,TSTUSDT,short,20,0.04059,4927.32200049,199.9999999998892,10,0.0407757296288178,0.0403114055567731,ATR-based (1:1.5),0.0403114055567731,0.03957525,False,0.0407926,01:17:28,-0.9982754372992604,-9.982754372992604,STOP_LOSS,85.0,False
2025-07-09,12:04:39,ENTRY,SEI,SEIUSDT,short,30,0.2564,1170.04680187,299.99999999946806,10,0.264092,0.244862,ATR-based (1:1.5),0.244862,0.24999,False,,,,,,,False
2025-07-09,12:10:35,EXIT,SEI,SEIUSDT,short,30,0.2564,1170.04680187,299.99999999946806,10,0.264092,0.244862,ATR-based (1:1.5),0.244862,0.24999,False,0.256,12:10:35,0.4680187207480134,4.680187207480134,MANUAL_CLOSE,5.0,False
2025-07-09,12:14:59,ENTRY,SEI,SEIUSDT,short,30,0.2556,1173.70892018,299.999999998008,10,0.263268,0.240264,ATR-based (1:2.0),0.240264,0.24921,False,,,,,,,False
2025-07-09,12:48:39,EXIT,SEI,SEIUSDT,short,30,0.2556,1173.70892018,299.999999998008,10,0.263268,0.240264,ATR-based (1:2.0),0.240264,0.24921,False,0.2561,12:48:39,-0.5868544600900005,-5.868544600900005,MANUAL_CLOSE,33.0,False
2025-07-09,12:52:14,ENTRY,SEI,SEIUSDT,long,50,0.256,1953.125,500.0,10,0.24832,0.265216,ATR-based (1:1.2),0.265216,0.2623999999999999,False,,,,,,,False
2025-07-09,13:53:46,EXIT,SEI,SEIUSDT,long,50,0.256,1953.125,500.0,10,0.24832,0.265216,ATR-based (1:1.2),0.265216,0.2623999999999999,False,0.2586,13:53:46,5.078124999999983,50.78124999999984,MANUAL_CLOSE,61.0,False
2025-07-09,14:30:26,ENTRY,VIRTUAL,VIRTUALUSDT,long,50,1.453,344.04458817,499.8967866110101,10,1.409701,1.5056188,ATR-based (1:1.2),1.5056188,1.4896325,False,,,,,,,False
2025-07-09,14:36:22,EXIT,VIRTUAL,VIRTUALUSDT,long,50,1.453,344.04458817,499.89678661101004,10,1.409701,1.5056188000000001,ATR-based (1:1.2),1.5056188000000001,1.4896325,False,1.4693,14:36:22,5.607926787170993,56.07926787170994,MANUAL_CLOSE,5.0,False
