timestamp,open,high,low,close,volume
2025-05-01 00:00:00,94172.0,94347.83,94130.43,94269.04,120.12412
2025-05-01 00:15:00,94269.03,94333.34,94186.79,94290.15,68.80927
2025-05-01 00:30:00,94290.16,94300.0,94217.39,94287.13,48.86758
2025-05-01 00:45:00,94287.12,94405.47,94287.12,94405.47,88.44703
2025-05-01 01:00:00,94405.46,94599.99,94398.51,94532.51,109.86491
2025-05-01 01:15:00,94532.51,94700.0,94521.2,94633.37,170.60487
2025-05-01 01:30:00,94633.37,94710.0,94485.97,94710.0,137.63025
2025-05-01 01:45:00,94709.99,94709.99,94576.05,94636.51,84.0263
2025-05-01 02:00:00,94636.5,94826.04,94620.0,94701.0,138.77031
2025-05-01 02:15:00,94701.0,94950.0,94701.0,94928.33,213.91399
2025-05-01 02:30:00,94928.33,94972.5,94827.69,94898.4,184.09708
2025-05-01 02:45:00,94898.4,94920.99,94755.76,94867.46,354.6444
2025-05-01 03:00:00,94867.46,95040.3,94705.79,94718.22,577.58872
2025-05-01 03:15:00,94718.22,94815.14,94688.75,94815.13,74.42732
2025-05-01 03:30:00,94815.13,94935.15,94720.0,94849.32,429.09118
2025-05-01 03:45:00,94849.32,94849.33,94719.99,94782.6,76.53047
2025-05-01 04:00:00,94782.6,94891.07,94750.18,94831.01,60.58342
2025-05-01 04:15:00,94831.0,94849.63,94732.81,94740.01,55.69582
2025-05-01 04:30:00,94740.01,94819.83,94714.38,94816.02,81.89538
2025-05-01 04:45:00,94816.02,94934.99,94816.01,94860.51,60.81785
2025-05-01 05:00:00,94860.51,94967.0,94840.38,94966.99,116.2682
2025-05-01 05:15:00,94967.0,94980.0,94869.56,94905.37,78.62186
2025-05-01 05:30:00,94905.38,95150.0,94860.67,95114.46,276.32544
2025-05-01 05:45:00,95114.47,95178.11,95048.0,95147.96,205.83593
2025-05-01 06:00:00,95147.97,95180.0,95034.11,95069.21,146.59198
2025-05-01 06:15:00,95069.21,95107.24,95000.0,95012.75,116.40562
2025-05-01 06:30:00,95012.74,95025.39,94840.0,94873.66,136.16593
2025-05-01 06:45:00,94873.67,94908.9,94806.23,94888.85,68.25138
2025-05-01 07:00:00,94888.85,94982.66,94800.0,94982.65,70.16051
2025-05-01 07:15:00,94982.65,95016.72,94936.72,94988.21,66.74315
2025-05-01 07:30:00,94988.2,95049.06,94976.0,95042.51,114.5612
2025-05-01 07:45:00,95042.5,95130.01,95004.0,95025.84,225.42518
2025-05-01 08:00:00,95025.84,95086.64,94913.04,95017.31,79.89716
2025-05-01 08:15:00,95017.31,95151.17,95017.31,95149.99,146.44023
2025-05-01 08:30:00,95150.0,95155.0,95080.0,95095.87,81.38834
2025-05-01 08:45:00,95095.88,95210.16,95095.87,95210.16,115.83889
2025-05-01 09:00:00,95210.16,95215.28,95140.18,95175.99,53.00178
2025-05-01 09:15:00,95175.99,95349.89,95175.99,95339.5,204.06791
2025-05-01 09:30:00,95339.5,95499.0,95298.77,95426.79,332.03227
2025-05-01 09:45:00,95426.79,95817.78,95426.79,95520.99,570.74493
2025-05-01 10:00:00,95520.99,95745.0,95520.98,95732.59,218.65525
2025-05-01 10:15:00,95732.58,96396.31,95732.58,96318.77,1019.90932
2025-05-01 10:30:00,96318.76,96391.31,96074.36,96139.98,356.33225
2025-05-01 10:45:00,96139.98,96191.07,95896.79,96169.01,270.90028
2025-05-01 11:00:00,96169.01,96250.4,96071.18,96162.99,261.07175
2025-05-01 11:15:00,96162.99,96191.41,95836.57,95927.49,203.10822
2025-05-01 11:30:00,95927.5,96156.32,95922.5,96101.99,161.4578
2025-05-01 11:45:00,96101.99,96239.08,96101.99,96180.01,162.2395
2025-05-01 12:00:00,96180.01,96334.02,96126.6,96265.62,224.57885
2025-05-01 12:15:00,96265.63,96407.32,96160.0,96197.61,218.52566
2025-05-01 12:30:00,96197.6,96463.18,96116.14,96423.61,240.861
2025-05-01 12:45:00,96423.62,96434.79,96251.99,96373.2,138.20749
